source,target,rel,cone
7018,46282,-1,1
7018,54230,-1,1
7018,54661,-1,1
7018,54677,-1,1
7018,53617,-1,1
7018,398068,-1,1
7018,397765,-1,1
7018,395183,-1,1
7018,395598,-1,1
7018,395626,-1,1
7018,397079,-1,1
7018,397571,-1,1
7018,396451,-1,1
7018,395733,-1,1
7018,396052,-1,1
7018,27358,-1,1
7018,27398,-1,1
7018,27634,-1,1
7018,26748,-1,1
7018,26751,-1,1
7018,27237,-1,1
7018,30383,-1,1
7018,30630,-1,1
7018,30016,-1,1
7018,30113,-1,1
7018,30175,-1,1
7018,23464,-1,1
7018,23494,-1,1
7018,23018,-1,1
7018,26485,-1,1
7018,26131,-1,1
7018,36693,-1,1
7018,36760,-1,1
7018,36502,-1,1
7018,36178,-1,1
7018,36252,-1,1
7018,39945,-1,1
7018,40834,-1,1
7018,40878,-1,1
7018,38191,-1,1
7018,40088,-1,1
7018,40196,-1,1
7018,40370,-1,1
7018,40458,-1,1
7018,36111,-1,1
7018,32458,-1,1
7018,32032,-1,1
7018,32258,-1,1
7018,35980,-1,1
7018,36032,-1,1
7018,32906,-1,1
7018,22696,-1,1
6453,37342,-1,1
6453,38191,-1,1
6453,40009,-1,1
6453,30383,-1,1
6453,32590,-1,1
6453,63981,-1,1
6453,53755,-1,1
6453,55520,-1,1
6453,1738,-1,1
6453,6643,-1,1
6453,12305,-1,1
6453,133583,-1,1
6461,6643,-1,1
6461,7148,-1,1
6461,4503,-1,1
6461,4543,-1,1
6461,11011,-1,1
6461,8188,-1,1
6461,9090,-1,1
6461,10240,-1,1
6453,394984,-1,1
6453,202276,-1,1
6453,137476,-1,1
6461,3911,-1,1
6461,1640,-1,1
6461,1678,-1,1
6461,2631,-1,1
6461,2635,-1,1
6461,3482,-1,1
6461,32932,-1,1
6461,33304,-1,1
6461,32808,-1,1
6461,32257,-1,1
6461,32590,-1,1
6461,32701,-1,1
6461,36184,-1,1
6461,36256,-1,1
6461,36321,-1,1
6461,35999,-1,1
6461,33563,-1,1
6461,33802,-1,1
6461,35180,-1,1
6461,32176,-1,1
6461,27013,-1,1
6461,29986,-1,1
6461,30175,-1,1
6461,48417,-1,1
6461,49567,-1,1
6461,49920,-1,1
6461,54661,-1,1
6461,54324,-1,1
6461,47351,-1,1
6461,40695,-1,1
6461,40428,-1,1
6461,39550,-1,1
6461,44384,-1,1
6461,46129,-1,1
6461,15000,-1,1
6461,17386,-1,1
6461,18552,-1,1
6461,18628,-1,1
6461,18672,-1,1
6461,17304,-1,1
6461,11863,-1,1
6461,11961,-1,1
6461,12142,-1,1
6461,12222,-1,1
6461,11509,-1,1
6461,14313,-1,1
6461,13150,-1,1
6461,13464,-1,1
6461,23027,-1,1
6461,23166,-1,1
6461,23173,-1,1
6461,22098,-1,1
6461,22262,-1,1
6461,23354,-1,1
6461,25849,-1,1
6461,19393,-1,1
6461,19755,-1,1
6461,18959,-1,1
6461,21519,-1,1
6461,21529,-1,1
6461,20384,-1,1
6830,48052,-1,1
6830,49071,-1,1
6830,206857,-1,1
6830,197380,-1,1
6830,25375,-1,1
6830,29135,-1,1
6830,30935,-1,1
6830,20890,-1,1
6830,41026,-1,1
6830,42853,-1,1
6830,43828,-1,1
6830,44468,-1,1
6830,32590,-1,1
6830,34271,-1,1
6830,34756,-1,1
6830,39507,-1,1
6830,8803,-1,1
6830,10690,-1,1
6830,12388,-1,1
6830,13013,-1,1
6830,8453,-1,1
6939,9946,0,1
6939,10349,-1,1
6939,11472,-1,1
6939,11067,-1,1
6939,8803,0,1
6939,8913,0,1
6939,14746,0,1
6939,14110,-1,1
6939,15517,0,1
6939,12355,0,1
6939,11948,-1,1
6939,11961,-1,1
6939,13150,0,1
6895,6939,0,1
6939,5392,0,1
6939,4646,0,1
6939,7505,0,1
6939,6643,0,1
6939,1640,-1,1
6939,2635,-1,1
6461,267652,-1,1
6461,205527,-1,1
6461,205919,-1,1
6461,209483,-1,1
6461,393640,-1,1
6461,393241,-1,1
6461,63407,-1,1
6461,62542,-1,1
6461,62664,-1,1
6461,202639,-1,1
6461,204657,-1,1
6461,399121,-1,1
6461,398194,-1,1
6461,395279,-1,1
6461,395501,-1,1
6461,394922,-1,1
6461,394545,-1,1
6461,394737,-1,1
6461,395726,-1,1
6461,395831,-1,1
6461,395926,-1,1
6461,396012,-1,1
6461,396194,-1,1
6762,15430,-1,1
6762,32590,-1,1
6762,269998,-1,1
6762,395403,-1,1
6762,209624,-1,1
6762,49582,-1,1
6762,37342,-1,1
6762,202112,-1,1
6762,59862,-1,1
1239,2635,-1,1
1239,4046,-1,1
1239,7914,-1,1
1239,19269,-1,1
1239,8913,-1,1
1239,11140,-1,1
1239,13150,-1,1
1239,12355,-1,1
328544,6939,0,1
923,6939,0,1
1299,48225,-1,1
1299,48417,-1,1
1299,48659,-1,1
1299,49920,-1,1
1299,50319,-1,1
1299,49106,-1,1
1299,42988,-1,1
1299,39372,-1,1
1299,44788,-1,1
1299,61378,-1,1
1299,62221,-1,1
1299,139648,-1,1
1299,63981,-1,1
1299,59692,-1,1
1299,19755,-1,1
328242,6939,0,1
1299,13150,-1,1
1299,13250,-1,1
1299,30935,-1,1
1299,31688,-1,1
1299,34809,-1,1
1299,34756,-1,1
1299,32590,-1,1
1299,33986,-1,1
1299,25715,-1,1
1299,24766,-1,1
1299,204600,-1,1
1299,205638,-1,1
1299,205848,-1,1
1299,205916,-1,1
1299,211590,-1,1
1299,211932,-1,1
1299,212961,-1,1
1299,208954,-1,1
1299,210333,-1,1
1299,199421,-1,1
1299,197498,-1,1
1299,197869,-1,1
1299,203443,-1,1
1299,204041,-1,1
1299,202276,-1,1
1299,394501,-1,1
1299,395403,-1,1
1299,395412,-1,1
1299,263740,-1,1
1299,265590,-1,1
1299,269934,-1,1
1299,197308,-1,1
1299,398202,-1,1
1239,210052,-1,1
1239,210083,-1,1
1239,210333,-1,1
1239,207176,-1,1
1239,213050,-1,1
1239,263763,-1,1
1239,395279,-1,1
1239,398068,-1,1
1239,200030,-1,1
1239,200062,-1,1
1239,201512,-1,1
1239,199332,-1,1
1239,204773,-1,1
1239,205668,-1,1
1239,205916,-1,1
1239,204419,-1,1
1239,202692,-1,1
1239,40370,-1,1
1239,38148,-1,1
1239,44788,-1,1
1239,44796,-1,1
1239,41721,-1,1
1239,35180,-1,1
1239,23028,0,1
1239,24204,-1,1
1239,33088,-1,1
1239,33986,-1,1
1239,34066,-1,1
1239,34756,-1,1
1239,32833,-1,1
1239,32590,-1,1
1239,31673,-1,1
1239,32182,-1,1
1239,137316,-1,1
1239,197267,0,1
1239,49849,0,1
1239,49910,-1,1
1239,50031,-1,1
1239,48305,-1,1
1239,48417,-1,1
1239,48451,-1,1
1239,51752,-1,1
1273,48397,-1,1
1299,2635,-1,1
1273,41839,-1,1
1299,11961,-1,1
1299,11509,-1,1
1299,8222,-1,1
174,42180,-1,1
174,46095,-1,1
174,44295,-1,1
174,44377,-1,1
174,44384,-1,1
174,44468,-1,1
174,41951,-1,1
174,40695,-1,1
174,40196,-1,1
174,40244,-1,1
174,41400,-1,1
174,41436,-1,1
174,41721,-1,1
174,48480,-1,1
174,48549,-1,1
174,48866,-1,1
174,50664,-1,1
174,49920,-1,1
174,50417,-1,1
398223,6939,0,1
174,46838,-1,1
174,46897,-1,1
174,46653,-1,1
174,48260,-1,1
174,48305,-1,1
174,48350,-1,1
174,32576,-1,1
174,32671,-1,1
174,32808,-1,1
174,32880,-1,1
174,32894,-1,1
174,32932,-1,1
174,33304,-1,1
174,32987,-1,1
174,33227,-1,1
174,30016,-1,1
174,30175,-1,1
174,32257,-1,1
174,30935,-1,1
174,31864,-1,1
174,31673,-1,1
174,33705,-1,1
174,36508,-1,1
174,34756,-1,1
174,34809,-1,1
174,33802,-1,1
174,33986,-1,1
174,34066,-1,1
174,34422,-1,1
174,36107,-1,1
174,36184,-1,1
174,36321,-1,1
174,36048,-1,1
174,197267,-1,1
174,138152,-1,1
174,139648,-1,1
174,197508,-1,1
174,198692,-1,1
174,197869,-1,1
174,198328,-1,1
174,63293,-1,1
174,63071,-1,1
174,63174,-1,1
174,63981,-1,1
174,64261,-1,1
174,64296,-1,1
174,64426,-1,1
174,62964,-1,1
174,202639,-1,1
174,202894,-1,1
174,201896,-1,1
174,202123,-1,1
174,202221,-1,1
174,202276,-1,1
174,202384,-1,1
174,203795,-1,1
174,203835,-1,1
174,203897,-1,1
174,203927,-1,1
174,199796,-1,1
174,199946,-1,1
174,200062,-1,1
174,199391,-1,1
174,199421,-1,1
174,199645,-1,1
174,201453,-1,1
174,201714,-1,1
174,54313,-1,1
174,54324,-1,1
174,54502,-1,1
174,54293,-1,1
174,55104,-1,1
174,55248,-1,1
174,55075,-1,1
174,54706,-1,1
397540,6939,0,1
174,51572,-1,1
174,51630,-1,1
174,52861,-1,1
174,53755,-1,1
174,53893,-1,1
174,53926,-1,1
174,53559,-1,1
174,61969,-1,1
174,62064,-1,1
174,60994,-1,1
174,61042,-1,1
174,62656,-1,1
174,62664,-1,1
174,62682,-1,1
174,62631,-1,1
174,60499,-1,1
174,57317,-1,1
174,58061,-1,1
174,58144,-1,1
174,56400,-1,1
174,56593,-1,1
174,7040,-1,1
174,7153,-1,1
174,1312,-1,1
174,1678,-1,1
174,4546,-1,1
174,4646,-1,1
174,5392,-1,1
174,3777,-1,1
174,12142,-1,1
174,12152,-1,1
174,12222,-1,1
174,12305,-1,1
174,13250,-1,1
174,13001,-1,1
174,11160,-1,1
174,10996,-1,1
174,11318,-1,1
174,11798,-1,1
174,11872,-1,1
174,11948,-1,1
174,11961,-1,1
174,11975,-1,1
174,14,-1,1
174,23528,-1,1
174,23068,-1,1
174,22781,-1,1
174,22892,-1,1
174,22904,-1,1
174,25375,-1,1
174,24149,-1,1
174,21784,-1,1
174,20955,-1,1
174,21552,-1,1
174,22639,-1,1
174,22151,-1,1
174,28399,-1,1
174,27611,-1,1
174,29787,-1,1
174,29430,-1,1
174,26485,-1,1
174,25849,-1,1
174,26125,-1,1
174,26208,-1,1
174,26962,-1,1
174,27029,-1,1
174,26859,-1,1
